Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,HMDVelocityValid,HMDVelocityX,HMDVelocityY,HMDVelocityZ,HMDAngularVelocityValid,HMDAngularVelocityX,HMDAngularVelocityY,HMDAngularVelocityZ,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.397694,True,-0.077337,1.019125,0.214393,0.005612,0.030908,-0.009345,-0.999463,True,-0.012560,1.020040,0.209087,-0.052081,-0.112512,-0.002804,-0.992281,True,4.000,True,0.511219,0.461110,True,4.000,True,0.545436,0.384846,,True,Device,-0.043739,1.020455,0.226666,-0.028793,0.040623,0.008219,0.998726,356.664700,4.634923,0.808012,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
0.406676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.408744,True,-0.077570,1.019054,0.214153,0.004959,0.031506,-0.009006,-0.999451,True,-0.012787,1.019935,0.208926,-0.053390,-0.108496,-0.002672,-0.992659,True,4.000,True,0.511219,0.461110,True,4.000,True,0.544797,0.386176,,True,Device,-0.043986,1.020347,0.226467,-0.028116,0.040035,0.007915,0.998771,356.744000,4.568689,0.778133,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.419818,True,-0.077844,1.019016,0.213869,0.005547,0.033074,-0.008591,-0.999401,True,-0.013053,1.019845,0.208731,-0.054207,-0.107791,-0.002331,-0.992692,True,4.000,True,0.510948,0.461866,True,4.000,True,0.544797,0.386176,,True,Device,-0.044275,1.020258,0.226231,-0.027330,0.039360,0.007463,0.998823,356.836600,4.493069,0.732023,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.430960,True,-0.078154,1.019048,0.213691,0.004678,0.033985,-0.008417,-0.999376,True,-0.013353,1.019868,0.208673,-0.055096,-0.106882,-0.002337,-0.992741,True,4.000,True,0.510948,0.461866,True,4.000,True,0.544797,0.386176,,True,Device,-0.044607,1.020259,0.226117,-0.026449,0.038454,0.007333,0.998883,356.938800,4.389865,0.723861,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.440126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.442071,True,-0.078529,1.018996,0.213349,0.003949,0.035068,-0.008264,-0.999343,True,-0.013718,1.019808,0.208471,-0.055728,-0.104284,-0.002399,-0.992982,True,4.000,True,0.510948,0.461866,True,4.000,True,0.544801,0.387318,,True,Device,-0.045009,1.020180,0.225848,-0.025709,0.037376,0.007211,0.998945,357.024800,4.266849,0.716336,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,0.768074,2.471590,3.207847,-0.865085,2.573351,2.647057,,,
0.453954,True,-0.078974,1.018950,0.213049,0.004272,0.035889,-0.008641,-0.999309,True,-0.014151,1.019821,0.208341,-0.056754,-0.103017,-0.002962,-0.993055,True,4.000,True,0.510840,0.462975,True,4.000,True,0.544801,0.387318,,True,Device,-0.045487,1.020132,0.225638,-0.024657,0.036066,0.007599,0.999016,357.144700,4.115927,0.769005,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.464387,True,-0.079428,1.018825,0.212562,0.002752,0.037788,-0.008857,-0.999243,True,-0.014588,1.019747,0.208101,-0.056406,-0.101585,-0.003557,-0.993220,True,4.000,True,0.510840,0.462975,True,4.000,True,0.545492,0.387560,,True,Device,-0.045989,1.019988,0.225280,-0.023153,0.034164,0.007887,0.999117,357.317300,3.897805,0.813221,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.473826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.475656,True,-0.079921,1.018897,0.212148,0.002848,0.038666,-0.007970,-0.999216,True,-0.015072,1.019703,0.207801,-0.056439,-0.100659,-0.002720,-0.993315,True,4.000,True,0.510840,0.462975,True,4.000,True,0.545492,0.387560,,True,Device,-0.046503,1.020002,0.224926,-0.023184,0.033305,0.006978,0.999152,357.318000,3.801646,0.711241,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
0.486668,True,-0.080296,1.018944,0.211798,0.003509,0.040865,-0.008080,-0.999126,True,-0.015434,1.019763,0.207632,-0.056747,-0.099276,-0.002907,-0.993436,True,4.000,True,0.511862,0.464311,True,4.000,True,0.545492,0.387560,,True,Device,-0.046913,1.020046,0.224668,-0.022874,0.031908,0.007033,0.999204,357.354300,3.641369,0.722412,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.497763,True,-0.080711,1.018882,0.211313,0.003005,0.041950,-0.008493,-0.999079,True,-0.015841,1.019762,0.207289,-0.056498,-0.098057,-0.003479,-0.993570,True,4.000,True,0.511862,0.464311,True,4.000,True,0.547660,0.387314,,True,Device,-0.047357,1.020000,0.224258,-0.022398,0.030816,0.007462,0.999246,357.408000,3.515227,0.776130,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,0.970912,2.420918,3.130807,-0.845534,2.582911,2.868816,,,
